Index,Air_temperature,Dew_point_temperature,Relative_humidity,Vapour_pressure,Saturated_vapour_pressure,Wind_speed,Wind_direction,Speed_maximum_windgust,DNI,GHI,Gross_generation,Total_consumption,Time
0,12.79261745,9.023489933,78.79194631,11.51073826,14.90604027,15.24832215,157.9194631,19.53691275,0,0,0.012,107.879,1/07/2011 0:30
1,12.61946309,10.09731544,85.06040268,12.38724832,14.73825503,9.953020134,172.7516779,15.43624161,0,0,0,97.221,1/07/2011 1:00
2,12.13288591,9.994630872,87.2147651,12.30201342,14.20671141,13.02013423,235.704698,20.72483221,0,0,0.018,69.814,1/07/2011 1:30
3,11.67919463,10.11677852,90.42281879,12.4147651,13.80134228,9.677852349,235.5704698,14.12080537,0,0,0.006,57.254,1/07/2011 2:00
4,11.43959732,10.13087248,91.8590604,12.41946309,13.59060403,9.610738255,171.9463087,13.16778523,0,0,0.006,45.426,1/07/2011 2:30
5,11.15302013,9.837583893,91.68456376,12.17986577,13.36510067,12.28187919,156.6442953,17.40939597,0,0,0,34.783,1/07/2011 3:00
6,11.19328859,9.989261745,92.43624161,12.32885906,13.37449664,13.04697987,226.7114094,17.42281879,0,0,0.012,33.663,1/07/2011 3:30
7,11.30134228,10.19798658,93.05369128,12.4852349,13.45838926,9.812080537,177.1812081,14.32214765,0,0,0.012,37.362,1/07/2011 4:00
8,10.99261745,9.756375839,92.27516779,12.1147651,13.21006711,11.3557047,224.5637584,17.68456376,0,0,0.006,36.187,1/07/2011 4:30
9,11.06979866,9.881879195,92.34228188,12.25100671,13.32751678,12.44295302,158.7919463,17.46308725,0,0,0.03,42.88,1/07/2011 5:00
10,10.99395973,9.781879195,92.24832215,12.16644295,13.25167785,12.63087248,157.0469799,19.1409396,0,0,0.006,44.706,1/07/2011 5:30
11,10.70604027,9.483221477,92.19463087,11.90805369,13.00067114,13.12751678,161.8791946,18,0,0,0.01,44.179,1/07/2011 6:00
12,10.59127517,9.509395973,93.10067114,11.95167785,12.92751678,13.43624161,159.7315436,18.22818792,0,0,0.029,47.306,1/07/2011 6:30
13,10.53959732,9.577181208,93.85234899,12.06979866,12.93154362,11.82550336,160,16.6442953,111.114094,84.69798658,0.009,65.033,1/07/2011 7:00
14,10.63691275,9.752348993,94.24161074,12.20872483,12.99261745,10.53691275,170.3355705,14.22818792,111.114094,84.69798658,0.222,70.131,1/07/2011 7:30
15,11.72751678,10.76510067,93.83892617,13.01409396,13.94563758,15.58389262,149.7986577,21.5704698,159.704698,166.7718121,3.332,82.74,1/07/2011 8:00
16,12.4409396,11.18590604,92.14765101,13.31543624,14.53288591,12.80536913,242.7516779,17.59731544,159.704698,166.7718121,8.709,77.869,1/07/2011 8:30
17,12.52483221,11.20536913,91.68456376,13.3261745,14.54496644,11,162.5503356,15.79194631,94.4966443,217.5167785,16.942,72.511,1/07/2011 9:00
18,12.87583893,11.29060403,90.24161074,13.38926174,14.88791946,9.342281879,245.3020134,14.75838926,94.4966443,217.5167785,25.823,58.081,1/07/2011 9:30
19,13.50738255,11.72214765,88.97315436,13.8147651,15.51946309,12.38255034,224.2281879,16.24832215,39.89261745,228.3154362,24.11,53.392,1/07/2011 10:00
20,14.03825503,11.96040268,87.38255034,14.00536913,16.04630872,11.20805369,250.2684564,16.00671141,39.89261745,228.3154362,30.458,50.597,1/07/2011 10:30
21,14.26442953,11.96979866,86.16778523,14.00939597,16.2704698,9.604026846,226.9127517,16.16778523,129.1677852,301.442953,35.004,48.318,1/07/2011 11:00
22,14.63892617,11.78926174,83.20134228,13.85302013,16.68322148,14.19463087,213.7583893,20.58389262,129.1677852,301.442953,41.829,49.776,1/07/2011 11:30
23,15.00939597,12.01812081,82.46979866,14.05771812,17.10402685,11.96644295,214.3624161,17.53691275,54.46308725,221.1744966,40.902,46.911,1/07/2011 12:00
24,14.70671141,11.82550336,83.00671141,13.86644295,16.73825503,14.03355705,216.1073826,21.28187919,54.46308725,221.1744966,32.616,49.513,1/07/2011 12:30
25,14.6966443,12.19395973,85.05369128,14.2295302,16.76442953,11.77852349,229.7315436,18.59731544,137.4563758,218.0402685,27.452,44.131,1/07/2011 13:00
26,14.81677852,12.07583893,83.76510067,14.08724832,16.89060403,12.89261745,214.8322148,19.2885906,137.4563758,218.0402685,30.199,45.908,1/07/2011 13:30
27,14.51275168,12.09865772,85.63758389,14.10805369,16.55637584,12.48993289,212.4161074,18.51677852,107.295302,145,28.673,45.707,1/07/2011 14:00
28,14.76375839,12.5557047,86.69798658,14.56107383,16.84697987,11.38926174,209.261745,17.19463087,107.295302,145,25.228,47.742,1/07/2011 14:30
29,14.39060403,12.30469799,87.41610738,14.31006711,16.43422819,11.44295302,223.4228188,15.87248322,36.70469799,76.34228188,17.013,52.151,1/07/2011 15:00
30,14.0590604,12.19060403,88.6442953,14.19463087,16.06174497,10.22147651,167.9865772,15.81879195,36.70469799,76.34228188,9.922,53.163,1/07/2011 15:30
31,13.9261745,12.14899329,89.2147651,14.15973154,15.93154362,10.36912752,166.9127517,15.24161074,0,0,5.687,63.659,1/07/2011 16:00
32,13.61342282,12.18456376,91.25503356,14.19597315,15.61744966,9.174496644,227.0469799,14.20805369,0,0,2.067,64.156,1/07/2011 16:30
33,13.2852349,12.04697987,92.2147651,14.08322148,15.28926174,9.523489933,168.4563758,13.71812081,0,0,0.129,84.791,1/07/2011 17:00
