Index,Total_consumption,Air_temperature,Air_temperature_future,Dew_point_temperature,Relative_humidity,Vapour_pressure,Saturated_vapour_pressure,Wind_speed,Wind_direction,Speed_maximum_windgust,DNI,GHI,Gross_generation,Time
0,82.534,10.66044776,7.953731343,4.25,61.44029851,7.576865672,12.93955224,6.619402985,213.4328358,9.164179104,0,0,0,1/07/2012 0:30
1,74.262,10.29104478,7.418656716,3.940298507,61.60447761,7.397014925,12.65522388,6.007462687,210.1492537,8.365671642,0,0,0.006,1/07/2012 1:00
2,84.264,9.954477612,7.294029851,4.03358209,63.10447761,7.450746269,12.34104478,5.78358209,209.7014925,7.888059701,0,0,0.006,1/07/2012 1:30
3,68.446,9.863432836,7.344776119,3.770895522,62.23134328,7.279850746,12.26940299,5.910447761,218.4328358,8.014925373,0,0,0.007,1/07/2012 2:00
4,54.736,9.58880597,6.964179104,4.085074627,64.82089552,7.452985075,12.03432836,5.410447761,226.8656716,9.201492537,0,0,0.006,1/07/2012 2:30
5,46.604,9.443283582,6.652238806,4.102985075,65.45522388,7.439552239,11.94626866,8.067164179,223.9552239,10.12686567,0,0,0.024,1/07/2012 3:00
6,34.064,9.515671642,6.541791045,4.037313433,65.17910448,7.414925373,11.98134328,7.380597015,260.1492537,10.23134328,0,0,0.007,1/07/2012 3:30
7,29.91,9.421641791,6.212686567,4.068656716,65.35074627,7.431343284,11.90149254,7.791044776,207.4626866,10.19402985,0,0,0.006,1/07/2012 4:00
8,33.452,9.48880597,6.449253731,4.070895522,65.08955224,7.451492537,11.9619403,7.746268657,252.3880597,10.32089552,0,0,0.006,1/07/2012 4:30
9,35.267,9.392537313,6.176119403,4.043283582,65.09701493,7.441044776,11.82835821,7.731343284,242.4626866,10.34328358,0,0,0.012,1/07/2012 5:00
10,33.209,9.320149254,6.379850746,4.121641791,65.7761194,7.504477612,11.7738806,7.798507463,203.7313433,10.23134328,0,0,0.006,1/07/2012 5:30
11,34.69,9.205970149,6.167164179,3.971641791,65.52238806,7.38358209,11.69477612,7.179104478,210.2238806,9.753731343,0,0,0.006,1/07/2012 6:00
12,35.942,9.121641791,6.119402985,4.026119403,66.14925373,7.402985075,11.6119403,7.805970149,258.880597,11.58208955,0,0,0.012,1/07/2012 6:30
13,45.122,9.112686567,6.294776119,3.992537313,65.79850746,7.4,11.61791045,7.388059701,240.4477612,10.73880597,27.2761194,47.05970149,0.007,1/07/2012 7:00
14,47.976,9.331343284,6.912686567,3.793283582,63.69402985,7.265671642,11.77313433,9.731343284,256.9402985,14.02238806,27.2761194,47.05970149,0.025,1/07/2012 7:30
15,52.763,9.632089552,8.449253731,3.706716418,61.67910448,7.231343284,12.0238806,7.798507463,258.4328358,11.49253731,57.47761194,135.0895522,1.159,1/07/2012 8:00
16,60.456,9.914925373,9.618656716,4.038059701,61.85074627,7.429850746,12.22238806,9.940298507,260.7462687,16.42537313,57.47761194,135.0895522,3.862,1/07/2012 8:30
17,62.314,10.35447761,10.82537313,4.082835821,59.90298507,7.475373134,12.56716418,9.052238806,260.3731343,13.97761194,88.79104478,230.4477612,7.489,1/07/2012 9:00
18,66.412,10.89925373,11.63731343,4.017164179,57.67164179,7.405970149,13.04850746,9.850746269,250.4477612,15.43283582,88.79104478,230.4477612,13.613,1/07/2012 9:30
19,74.204,11.75223881,12.06119403,4.023880597,54.29104478,7.412686567,13.82014925,11.29850746,243.8059701,16.48507463,285.5149254,390.2238806,22.684,1/07/2012 10:00
20,69.111,12.8738806,12.62014925,3.842537313,49.26119403,7.300746269,14.87537313,10.91044776,254.9253731,17.05223881,285.5149254,390.2238806,33.581,1/07/2012 10:30
21,65.091,13.73656716,13.18358209,2.919402985,43.61940299,6.797761194,15.76044776,11.68656716,259.6268657,18.51492537,65.29850746,233.4701493,43.199,1/07/2012 11:00
22,63.685,14.12985075,13.67761194,0.986567164,36.65671642,5.85,16.15970149,15.2761194,249.7014925,23.8358209,65.29850746,233.4701493,41.606,1/07/2012 11:30
23,63.508,12.96641791,13.99850746,1.460447761,40.49253731,6.053731343,14.96641791,16.35074627,236.9402985,26.21641791,226.6716418,317.3358209,22.761,1/07/2012 12:00
24,59.765,13.94701493,14.10671642,1.620895522,37.88059701,6.123880597,15.94701493,11.86567164,238.4328358,22.31343284,226.6716418,317.3358209,29.281,1/07/2012 12:30
25,60.337,14.0858209,14.53955224,0.803731343,35.57462687,5.732835821,16.13358209,15.67910448,250.4477612,23.1641791,418.0447761,375.9776119,36.14,1/07/2012 13:00
